Date,IT Department,Cost Element,Country,Actual
1/08/2020,Administration,Employee Performance,USA,290
1/08/2020,Administration,External Labor,United Kingdom,-719
1/08/2020,Administration,External Labor,USA,"78,392"
1/08/2020,Administration,Internal Labor,Germany,"1,196"
1/08/2020,Administration,Internal Labor,Italy,"4,675"
1/08/2020,Administration,Internal Labor,United Kingdom,"22,642"
1/08/2020,Administration,Internal Labor,USA,"99,840"
1/08/2020,Administration,Legal,USA,300
1/08/2020,Administration,Moving,USA,"5,492"
1/08/2020,Administration,Other,United Kingdom,-7
1/08/2020,Administration,Other,USA,"-19,248"
1/08/2020,Administration,Outbound Allocations,United Kingdom,727
1/08/2020,Administration,Recognition,Germany,203
1/08/2020,Administration,Severance,Italy,308
1/08/2020,Administration,Software,USA,6
1/08/2020,Administration,Software Maintenance,USA,4
1/08/2020,Administration,Supplies,USA,209
1/08/2020,Administration,Telecomm,Italy,50
1/08/2020,Administration,Telecomm,United Kingdom,-87
1/08/2020,Administration,Telecomm,USA,478
1/08/2020,Administration,Training,USA,44
1/08/2020,Administration,Travel,USA,"6,726"
1/08/2020,Architecture,Depreciation,USA,693
1/08/2020,Architecture,Employee Performance,USA,33
1/08/2020,Architecture,External Labor,USA,42
1/08/2020,Architecture,Hardware,USA,248
1/08/2020,Architecture,Internal Labor,USA,"39,629"
1/08/2020,Architecture,Other,USA,"-1,627"
1/08/2020,Architecture,Software,USA,11
1/08/2020,Architecture,Software Maintenance,USA,8
1/08/2020,Architecture,Supplies,USA,268
1/08/2020,Architecture,Taxes,USA,44
1/08/2020,Architecture,Telecomm,USA,"1,004"
1/08/2020,Architecture,Training,USA,362
1/08/2020,Business Intelligence,Employee Performance,USA,76
1/08/2020,Business Intelligence,External Labor,USA,"20,188"
1/08/2020,Business Intelligence,Hardware,USA,"1,183"
1/08/2020,Business Intelligence,Internal Labor,USA,"61,894"
1/08/2020,Business Intelligence,Software,USA,79
1/08/2020,Business Intelligence,Software Maintenance,USA,57
1/08/2020,Business Intelligence,Telecomm,USA,377
1/08/2020,Business Intelligence,Training,USA,"1,155"
1/08/2020,Business Intelligence,Travel,USA,242
1/08/2020,Core,Employee Performance,USA,90
1/08/2020,Core,External Labor,USA,"37,262"
1/08/2020,Core,Internal Labor,USA,"19,700"
1/08/2020,Core,Supplies,USA,10
1/08/2020,Core,Telecomm,United Kingdom,-170
1/08/2020,Core,Telecomm,USA,173
1/08/2020,Core,Training,USA,206
1/08/2020,Core,Travel,USA,"3,442"
1/08/2020,Core Infrastructure,Amortization,Mexico,"1,380"
1/08/2020,Core Infrastructure,CAPEX,USA,15
1/08/2020,Core Infrastructure,Depreciation,Brazil,"13,199"
1/08/2020,Core Infrastructure,Depreciation,Canada,"5,056"
1/08/2020,Core Infrastructure,Depreciation,Mexico,"3,723"
1/08/2020,Core Infrastructure,Depreciation,New Zealand,"9,904"
1/08/2020,Core Infrastructure,Depreciation,USA,378
1/08/2020,Core Infrastructure,Employee Performance,USA,38
1/08/2020,Core Infrastructure,External Labor,Brazil,"20,624"
1/08/2020,Core Infrastructure,External Labor,Canada,"19,661"
1/08/2020,Core Infrastructure,External Labor,Mexico,"32,993"
1/08/2020,Core Infrastructure,External Labor,New Zealand,"9,246"
1/08/2020,Core Infrastructure,External Labor,USA,"301,249"
1/08/2020,Core Infrastructure,Hardware,Brazil,"1,387"
1/08/2020,Core Infrastructure,Hardware,Mexico,"21,453"
1/08/2020,Core Infrastructure,Hardware,New Zealand,"106,545"
1/08/2020,Core Infrastructure,Hardware,USA,"1,474"
1/08/2020,Core Infrastructure,Hardware Maintenance,Brazil,"18,512"
1/08/2020,Core Infrastructure,Hardware Maintenance,Canada,"9,383"
1/08/2020,Core Infrastructure,Hardware Maintenance,Mexico,"6,528"
1/08/2020,Core Infrastructure,Inbound Allocations,New Zealand,"10,300"
1/08/2020,Core Infrastructure,Internal Labor,Brazil,"9,451"
1/08/2020,Core Infrastructure,Internal Labor,Canada,"-3,421"
1/08/2020,Core Infrastructure,Internal Labor,Mexico,"3,013"
1/08/2020,Core Infrastructure,Internal Labor,New Zealand,"37,615"
1/08/2020,Core Infrastructure,Internal Labor,Switzerland,"3,061"
1/08/2020,Core Infrastructure,Internal Labor,USA,"39,197"
1/08/2020,Core Infrastructure,Moving,USA,"9,385"
1/08/2020,Core Infrastructure,Other,Brazil,"11,082"
1/08/2020,Core Infrastructure,Other,Canada,3
1/08/2020,Core Infrastructure,Other,Mexico,"16,180"
1/08/2020,Core Infrastructure,Other,New Zealand,"1,906"
1/08/2020,Core Infrastructure,Other,USA,178
1/08/2020,Core Infrastructure,Recognition,New Zealand,548
1/08/2020,Core Infrastructure,Severance,Brazil,483
1/08/2020,Core Infrastructure,Severance,Mexico,250
1/08/2020,Core Infrastructure,Severance,New Zealand,551
1/08/2020,Core Infrastructure,Software,Canada,105
1/08/2020,Core Infrastructure,Software,New Zealand,"1,791"
1/08/2020,Core Infrastructure,Supplies,Brazil,51
1/08/2020,Core Infrastructure,Supplies,Canada,117
1/08/2020,Core Infrastructure,Supplies,New Zealand,785
1/08/2020,Core Infrastructure,Supplies,USA,197
1/08/2020,Core Infrastructure,Taxes,USA,9
1/08/2020,Core Infrastructure,Telecomm,Brazil,"2,429"
1/08/2020,Core Infrastructure,Telecomm,Canada,"2,034"
1/08/2020,Core Infrastructure,Telecomm,Mexico,"1,926"
1/08/2020,Core Infrastructure,Telecomm,New Zealand,"18,100"
1/08/2020,Core Infrastructure,Telecomm,Switzerland,"1,224"
1/08/2020,Core Infrastructure,Telecomm,USA,485
1/08/2020,Core Infrastructure,Training,Brazil,72
1/08/2020,Core Infrastructure,Training,Mexico,95
1/08/2020,Core Infrastructure,Training,New Zealand,"2,203"
1/08/2020,Core Infrastructure,Training,USA,37
1/08/2020,Core Infrastructure,Travel,Brazil,14
1/08/2020,Core Infrastructure,Travel,Mexico,10
1/08/2020,Core Infrastructure,Travel,New Zealand,"-2,115"
1/08/2020,Core Infrastructure,Travel,Switzerland,"2,050"
1/08/2020,Core Infrastructure,Travel,USA,21
1/08/2020,Core Infrastructure,Vehicles,Mexico,33
1/08/2020,Core Infrastructure,Vehicles,New Zealand,57
1/08/2020,Data Centers,Amortization,USA,176
1/08/2020,Data Centers,Depreciation,Ireland,639
1/08/2020,Data Centers,Depreciation,United Kingdom,"19,151"
1/08/2020,Data Centers,Depreciation,USA,"234,903"
1/08/2020,Data Centers,Employee Performance,USA,350
1/08/2020,Data Centers,External Labor,Germany,185
1/08/2020,Data Centers,External Labor,United Kingdom,"105,821"
1/08/2020,Data Centers,External Labor,USA,"399,402"
1/08/2020,Data Centers,Hardware,United Kingdom,"71,040"
