ReportingPeriodID,Period,FiscalYear,FiscalMonth,Month
20130101,1,2013,"Jan",2013-01-01 00:00:00.000
20130102,1,2013,"Jan",2013-01-02 00:00:00.000
20130103,1,2013,"Jan",2013-01-03 00:00:00.000
20130104,1,2013,"Jan",2013-01-04 00:00:00.000
20130105,1,2013,"Jan",2013-01-05 00:00:00.000
20130106,1,2013,"Jan",2013-01-06 00:00:00.000
20130107,1,2013,"Jan",2013-01-07 00:00:00.000
20130108,1,2013,"Jan",2013-01-08 00:00:00.000
20130109,1,2013,"Jan",2013-01-09 00:00:00.000
20130110,1,2013,"Jan",2013-01-10 00:00:00.000
20130111,1,2013,"Jan",2013-01-11 00:00:00.000
20130112,1,2013,"Jan",2013-01-12 00:00:00.000
20130113,1,2013,"Jan",2013-01-13 00:00:00.000
20130114,1,2013,"Jan",2013-01-14 00:00:00.000
20130115,1,2013,"Jan",2013-01-15 00:00:00.000
20130116,1,2013,"Jan",2013-01-16 00:00:00.000
20130117,1,2013,"Jan",2013-01-17 00:00:00.000
20130118,1,2013,"Jan",2013-01-18 00:00:00.000
20130119,1,2013,"Jan",2013-01-19 00:00:00.000
20130120,1,2013,"Jan",2013-01-20 00:00:00.000
20130121,1,2013,"Jan",2013-01-21 00:00:00.000
20130122,1,2013,"Jan",2013-01-22 00:00:00.000
20130123,1,2013,"Jan",2013-01-23 00:00:00.000
20130124,1,2013,"Jan",2013-01-24 00:00:00.000
20130125,1,2013,"Jan",2013-01-25 00:00:00.000
20130126,1,2013,"Jan",2013-01-26 00:00:00.000
20130127,1,2013,"Jan",2013-01-27 00:00:00.000
20130128,1,2013,"Jan",2013-01-28 00:00:00.000
20130129,1,2013,"Jan",2013-01-29 00:00:00.000
20130130,1,2013,"Jan",2013-01-30 00:00:00.000
20130131,1,2013,"Jan",2013-01-31 00:00:00.000
20130201,2,2013,"Feb",2013-02-01 00:00:00.000
20130202,2,2013,"Feb",2013-02-02 00:00:00.000
20130203,2,2013,"Feb",2013-02-03 00:00:00.000
20130204,2,2013,"Feb",2013-02-04 00:00:00.000
20130205,2,2013,"Feb",2013-02-05 00:00:00.000
20130206,2,2013,"Feb",2013-02-06 00:00:00.000
20130207,2,2013,"Feb",2013-02-07 00:00:00.000
20130208,2,2013,"Feb",2013-02-08 00:00:00.000
20130209,2,2013,"Feb",2013-02-09 00:00:00.000
20130210,2,2013,"Feb",2013-02-10 00:00:00.000
20130211,2,2013,"Feb",2013-02-11 00:00:00.000
20130212,2,2013,"Feb",2013-02-12 00:00:00.000
20130213,2,2013,"Feb",2013-02-13 00:00:00.000
20130214,2,2013,"Feb",2013-02-14 00:00:00.000
20130215,2,2013,"Feb",2013-02-15 00:00:00.000
20130216,2,2013,"Feb",2013-02-16 00:00:00.000
20130217,2,2013,"Feb",2013-02-17 00:00:00.000
20130218,2,2013,"Feb",2013-02-18 00:00:00.000
20130219,2,2013,"Feb",2013-02-19 00:00:00.000
20130220,2,2013,"Feb",2013-02-20 00:00:00.000
20130221,2,2013,"Feb",2013-02-21 00:00:00.000
20130222,2,2013,"Feb",2013-02-22 00:00:00.000
20130223,2,2013,"Feb",2013-02-23 00:00:00.000
20130224,2,2013,"Feb",2013-02-24 00:00:00.000
20130225,2,2013,"Feb",2013-02-25 00:00:00.000
20130226,2,2013,"Feb",2013-02-26 00:00:00.000
20130227,2,2013,"Feb",2013-02-27 00:00:00.000
20130228,2,2013,"Feb",2013-02-28 00:00:00.000
20130301,3,2013,"Mar",2013-03-01 00:00:00.000
20130302,3,2013,"Mar",2013-03-02 00:00:00.000
20130303,3,2013,"Mar",2013-03-03 00:00:00.000
20130304,3,2013,"Mar",2013-03-04 00:00:00.000
20130305,3,2013,"Mar",2013-03-05 00:00:00.000
20130306,3,2013,"Mar",2013-03-06 00:00:00.000
20130307,3,2013,"Mar",2013-03-07 00:00:00.000
20130308,3,2013,"Mar",2013-03-08 00:00:00.000
20130309,3,2013,"Mar",2013-03-09 00:00:00.000
20130310,3,2013,"Mar",2013-03-10 00:00:00.000
20130311,3,2013,"Mar",2013-03-11 00:00:00.000
20130312,3,2013,"Mar",2013-03-12 00:00:00.000
20130313,3,2013,"Mar",2013-03-13 00:00:00.000
20130314,3,2013,"Mar",2013-03-14 00:00:00.000
20130315,3,2013,"Mar",2013-03-15 00:00:00.000
20130316,3,2013,"Mar",2013-03-16 00:00:00.000
20130317,3,2013,"Mar",2013-03-17 00:00:00.000
20130318,3,2013,"Mar",2013-03-18 00:00:00.000
20130319,3,2013,"Mar",2013-03-19 00:00:00.000
20130320,3,2013,"Mar",2013-03-20 00:00:00.000
20130321,3,2013,"Mar",2013-03-21 00:00:00.000
20130322,3,2013,"Mar",2013-03-22 00:00:00.000
20130323,3,2013,"Mar",2013-03-23 00:00:00.000
20130324,3,2013,"Mar",2013-03-24 00:00:00.000
20130325,3,2013,"Mar",2013-03-25 00:00:00.000
20130326,3,2013,"Mar",2013-03-26 00:00:00.000
20130327,3,2013,"Mar",2013-03-27 00:00:00.000
20130328,3,2013,"Mar",2013-03-28 00:00:00.000
20130329,3,2013,"Mar",2013-03-29 00:00:00.000
20130330,3,2013,"Mar",2013-03-30 00:00:00.000
20130331,3,2013,"Mar",2013-03-31 00:00:00.000
20130401,4,2013,"Apr",2013-04-01 00:00:00.000
20130402,4,2013,"Apr",2013-04-02 00:00:00.000
20130403,4,2013,"Apr",2013-04-03 00:00:00.000
20130404,4,2013,"Apr",2013-04-04 00:00:00.000
20130405,4,2013,"Apr",2013-04-05 00:00:00.000
20130406,4,2013,"Apr",2013-04-06 00:00:00.000
20130407,4,2013,"Apr",2013-04-07 00:00:00.000
20130408,4,2013,"Apr",2013-04-08 00:00:00.000
20130409,4,2013,"Apr",2013-04-09 00:00:00.000
20130410,4,2013,"Apr",2013-04-10 00:00:00.000
20130411,4,2013,"Apr",2013-04-11 00:00:00.000
20130412,4,2013,"Apr",2013-04-12 00:00:00.000
20130413,4,2013,"Apr",2013-04-13 00:00:00.000
20130414,4,2013,"Apr",2013-04-14 00:00:00.000
20130415,4,2013,"Apr",2013-04-15 00:00:00.000
20130416,4,2013,"Apr",2013-04-16 00:00:00.000
20130417,4,2013,"Apr",2013-04-17 00:00:00.000
20130418,4,2013,"Apr",2013-04-18 00:00:00.000
20130419,4,2013,"Apr",2013-04-19 00:00:00.000
20130420,4,2013,"Apr",2013-04-20 00:00:00.000
20130421,4,2013,"Apr",2013-04-21 00:00:00.000
20130422,4,2013,"Apr",2013-04-22 00:00:00.000
20130423,4,2013,"Apr",2013-04-23 00:00:00.000
20130424,4,2013,"Apr",2013-04-24 00:00:00.000
20130425,4,2013,"Apr",2013-04-25 00:00:00.000
20130426,4,2013,"Apr",2013-04-26 00:00:00.000
20130427,4,2013,"Apr",2013-04-27 00:00:00.000
20130428,4,2013,"Apr",2013-04-28 00:00:00.000
20130429,4,2013,"Apr",2013-04-29 00:00:00.000
20130430,4,2013,"Apr",2013-04-30 00:00:00.000
20130501,5,2013,"May",2013-05-01 00:00:00.000
20130502,5,2013,"May",2013-05-02 00:00:00.000
20130503,5,2013,"May",2013-05-03 00:00:00.000
20130504,5,2013,"May",2013-05-04 00:00:00.000
20130505,5,2013,"May",2013-05-05 00:00:00.000
